,City,Date,Card Type,Exp Type,Gender,Amount,Country,Month,Year,Month_Year
0,Delhi,29,Gold,Bills,F,82475, India,Oct,2014,Oct 2014
1,Greater Mumbai,22,Platinum,Bills,F,32555, India,Aug,2014,Aug 2014
2,Bengaluru,27,Silver,Bills,F,101738, India,Aug,2014,Aug 2014
3,Greater Mumbai,12,Signature,Bills,F,123424, India,Apr,2014,Apr 2014
4,Bengaluru,5,Gold,Bills,F,171574, India,May,2015,May 2015
5,Delhi,8,Silver,Bills,F,100036, India,Sep,2014,Sep 2014
6,Delhi,24,Gold,Bills,F,143250, India,Feb,2015,Feb 2015
7,Greater Mumbai,26,Platinum,Bills,F,150980, India,Jun,2014,Jun 2014
8,Delhi,28,Silver,Bills,F,192247, India,Mar,2014,Mar 2014
9,Delhi,1,Platinum,Bills,F,67932, India,Sep,2014,Sep 2014
10,Delhi,22,Platinum,Bills,F,280061, India,Jun,2014,Jun 2014
11,Greater Mumbai,7,Signature,Bills,F,278036, India,Dec,2013,Dec 2013
12,Greater Mumbai,7,Gold,Bills,F,19226, India,Aug,2014,Aug 2014
13,Delhi,27,Signature,Bills,F,254359, India,Apr,2014,Apr 2014
14,Greater Mumbai,15,Signature,Bills,F,302834, India,Aug,2014,Aug 2014
15,Greater Mumbai,28,Platinum,Bills,F,647116, India,Nov,2014,Nov 2014
16,Greater Mumbai,14,Signature,Bills,F,421878, India,Jun,2014,Jun 2014
17,Greater Mumbai,30,Gold,Bills,F,986379, India,Mar,2015,Mar 2015
18,Greater Mumbai,15,Platinum,Bills,F,213047, India,Mar,2014,Mar 2014
19,Greater Mumbai,9,Platinum,Bills,F,735566, India,Nov,2013,Nov 2013
20,Delhi,4,Signature,Bills,F,366102, India,Apr,2014,Apr 2014
21,Delhi,1,Signature,Bills,F,809623, India,Jul,2014,Jul 2014
22,Greater Mumbai,27,Silver,Bills,F,467014, India,Mar,2015,Mar 2015
23,Ahmedabad,11,Gold,Bills,F,668568, India,Oct,2013,Oct 2013
24,Ahmedabad,26,Gold,Bills,F,339112, India,Mar,2014,Mar 2014
25,Delhi,27,Silver,Bills,F,622170, India,Sep,2014,Sep 2014
26,Bengaluru,23,Platinum,Bills,F,434427, India,Mar,2014,Mar 2014
27,Greater Mumbai,17,Signature,Bills,F,655846, India,May,2014,May 2014
28,Bengaluru,18,Platinum,Bills,F,987935, India,Jan,2015,Jan 2015
29,Delhi,18,Gold,Bills,F,702774, India,Apr,2015,Apr 2015
30,Bengaluru,31,Signature,Bills,F,225392, India,Jul,2014,Jul 2014
31,Greater Mumbai,11,Gold,Bills,F,296573, India,Feb,2015,Feb 2015
32,Ahmedabad,24,Platinum,Bills,F,227702, India,Nov,2013,Nov 2013
33,Ahmedabad,8,Gold,Bills,F,864090, India,Nov,2014,Nov 2014
34,Ahmedabad,6,Signature,Bills,F,440605, India,Sep,2014,Sep 2014
35,Ahmedabad,24,Platinum,Bills,F,954660, India,Mar,2015,Mar 2015
36,Ahmedabad,1,Signature,Bills,F,255577, India,Jan,2014,Jan 2014
37,Ahmedabad,12,Silver,Bills,F,337352, India,Jul,2014,Jul 2014
38,Ahmedabad,4,Platinum,Bills,F,660244, India,Feb,2014,Feb 2014
39,Delhi,3,Silver,Bills,F,401351, India,Feb,2015,Feb 2015
40,Delhi,27,Platinum,Bills,F,678842, India,Oct,2013,Oct 2013
41,Delhi,11,Gold,Bills,F,478861, India,May,2014,May 2014
42,Bengaluru,10,Platinum,Bills,F,804938, India,Nov,2014,Nov 2014
43,Delhi,30,Silver,Bills,F,888341, India,Jan,2015,Jan 2015
44,Bengaluru,19,Platinum,Bills,F,262414, India,Apr,2014,Apr 2014
45,Bengaluru,8,Gold,Bills,F,249353, India,Sep,2014,Sep 2014
46,Ahmedabad,10,Gold,Bills,F,892016, India,Dec,2013,Dec 2013
47,Ahmedabad,4,Platinum,Bills,F,313626, India,Nov,2013,Nov 2013
48,Greater Mumbai,1,Gold,Bills,F,314366, India,Jun,2014,Jun 2014
49,Greater Mumbai,27,Signature,Bills,F,551340, India,Apr,2014,Apr 2014
50,Delhi,4,Signature,Bills,F,735037, India,Oct,2013,Oct 2013
51,Greater Mumbai,31,Platinum,Bills,F,574023, India,Dec,2014,Dec 2014
52,Ahmedabad,21,Signature,Bills,F,402300, India,Dec,2013,Dec 2013
53,Delhi,7,Signature,Bills,F,733125, India,Dec,2013,Dec 2013
54,Greater Mumbai,7,Signature,Bills,F,545977, India,Feb,2014,Feb 2014
55,Bengaluru,13,Silver,Bills,F,371572, India,May,2015,May 2015
56,Ahmedabad,28,Signature,Bills,F,326283, India,Jan,2015,Jan 2015
57,Delhi,9,Platinum,Bills,F,279051, India,Dec,2014,Dec 2014
58,Delhi,8,Platinum,Bills,F,900101, India,Oct,2013,Oct 2013
59,Ahmedabad,24,Silver,Bills,F,545286, India,Apr,2014,Apr 2014
60,Delhi,13,Platinum,Bills,F,722587, India,Jan,2015,Jan 2015
61,Bengaluru,14,Platinum,Bills,F,411062, India,Mar,2014,Mar 2014
62,Delhi,27,Platinum,Bills,F,660910, India,Feb,2014,Feb 2014
63,Greater Mumbai,29,Signature,Bills,F,557370, India,Oct,2013,Oct 2013
64,Greater Mumbai,22,Platinum,Bills,F,549794, India,Jun,2014,Jun 2014
65,Delhi,23,Platinum,Bills,F,340133, India,Jan,2014,Jan 2014
66,Bengaluru,10,Gold,Bills,F,265417, India,Nov,2013,Nov 2013
67,Greater Mumbai,13,Platinum,Bills,F,358185, India,Dec,2013,Dec 2013
68,Greater Mumbai,22,Gold,Bills,F,991685, India,Mar,2014,Mar 2014
69,Greater Mumbai,13,Gold,Bills,F,533762, India,Jan,2015,Jan 2015
70,Greater Mumbai,8,Gold,Bills,F,829742, India,May,2014,May 2014
71,Delhi,18,Silver,Bills,F,441527, India,Feb,2014,Feb 2014
72,Delhi,4,Signature,Bills,F,550782, India,Oct,2013,Oct 2013
73,Greater Mumbai,14,Platinum,Bills,F,835872, India,Jun,2014,Jun 2014
74,Ahmedabad,24,Silver,Bills,F,540497, India,Aug,2014,Aug 2014
75,Greater Mumbai,2,Platinum,Bills,F,525977, India,Apr,2015,Apr 2015
